taxon,lineage
England/CAMB-1B2E99/2020,B.1.66
England/CAMB-1B2D7E/2020,B.1.66
England/CAMB-1B2DAB/2020,B.1.66
England/CAMB-1AC0BA/2020,B.1.66
England/CAMB-1ABE93/2020,B.1.66
England/CAMB-1AC120/2020,B.1.66
England/CAMB-1AC14E/2020,B.1.66
England/CAMB-83F80/2020,B.1.66
England/CAMB-82C99/2020,B.1.66
England/CAMB-82A9F/2020,B.1.66
England/CAMB-81ED0/2020,B.1.66
England/CAMB-81104/2020,B.1.66
England/CAMB-80FDE/2020,B.1.66
England/CAMB-80FFC/2020,B.1.66
England/CAMB-7FC71/2020,B.1.66
England/CAMB-7E119/2020,B.1.66
England/CAMB-7E2F8/2020,B.1.66
England/CAMB-7E261/2020,B.1.66
England/CAMB-7FBCF/2020,B.1.66
England/CAMB-7C0A5/2020,B.1.66
England/CAMB-7B0B5/2020,B.1.66
England/CAMB-7B149/2020,B.1.66
England/CAMB-7B2FB/2020,B.1.66
England/CAMB-789CC/2020,B.1.66
England/CAMB-78689/2020,B.1.66
England/CAMB-784BC/2020,B.1.66
England/20140007602/2020,B.1.66
England/20140007604/2020,B.1.66
England/CAMB-73BBC/2020,B.1.66
England/CAMB-73D01/2020,B.1.66
England/CAMB-739D0/2020,B.1.66
