taxon,lineage
England/CAMB-7D2EA/2020,B.1.76
England/20109007504/2020,B.1.76
England/201080091/2020,B.1.76
England/201160010/2020,B.1.76
England/201160012/2020,B.1.76
England/201180001/2020,B.1.76
England/201160011/2020,B.1.76
England/CAMB-1B495A/2020,B.1.76
England/CAMB-1B4969/2020,B.1.76
England/CAMB-1B4705/2020,B.1.76
England/CAMB-1B3083/2020,B.1.76
England/CAMB-1B335D/2020,B.1.76
England/CAMB-1AEEBE/2020,B.1.76
England/CAMB-1AD66C/2020,B.1.76
England/CAMB-1AB622/2020,B.1.76
England/CAMB-1ACE92/2020,B.1.76
England/CAMB-1AB376/2020,B.1.76
England/CAMB-1AD59C/2020,B.1.76
England/CAMB-7D3E7/2020,B.1.76
England/CAMB-7DD70/2020,B.1.76
England/CAMB-7B941/2020,B.1.76
England/20152067804/2020,B.1.76
England/201080092/2020,B.1.76
England/20124001104/2020,B.1.76
England/201140057/2020,B.1.76
England/20110003506/2020,B.1.76
England/20119001304/2020,B.1.76
England/201140058/2020,B.1.76
England/PHEC-203B6/2020,B.1.76
England/20099072004/2020,B.1.76
England/201140056/2020,B.1.76
England/20126000304/2020,B.1.76
England/20119058604/2020,B.1.76
England/20129002304/2020,B.1.76
England/20120000204/2020,B.1.76
England/201090514/2020,B.1.76
England/CAMB-77CB5/2020,B.1.76
England/CAMB-7D323/2020,B.1.76
England/CAMB-7DD9E/2020,B.1.76
England/CAMB-7B8CC/2020,B.1.76
England/CAMB-7C55B/2020,B.1.76
England/CAMB-7906C/2020,B.1.76
England/CAMB-8317B/2020,B.1.76
England/CAMB-78C2D/2020,B.1.76
England/CAMB-741B9/2020,B.1.76
England/CAMB-7F0C0/2020,B.1.76
England/CAMB-1AA878/2020,B.1.76
England/CAMB-797B2/2020,B.1.76
England/CAMB-7C70A/2020,B.1.76
England/CAMB-7A1B3/2020,B.1.76
England/CAMB-1B1252/2020,B.1.76
England/CAMB-7DEF5/2020,B.1.76
England/LIVE-99F5A/2020,B.1.76
England/CAMB-7A326/2020,B.1.76
England/CAMB-7908A/2020,B.1.76
England/20109000404/2020,B.1.76
England/CAMB-76E92/2020,B.1.76
England/LOND-D5EA0/2020,B.1.76
England/PHEC-201CB/2020,B.1.76
England/20092096704/2020,B.1.76
